station,longitude,latitude,year,month,date,NDVI
Baise,106.62,23.9,2009,12,2009-12,0.0892
Baise,106.62,23.9,2010,1,2010-01,0.0983
Baise,106.62,23.9,2010,2,2010-02,0.1505
Baise,106.62,23.9,2010,3,2010-03,0.1372
Baise,106.62,23.9,2010,4,2010-04,0.1972
Baise,106.62,23.9,2010,5,2010-05,0.2135
Baise,106.62,23.9,2010,6,2010-06,0.2402
Baise,106.62,23.9,2010,7,2010-07,0.2122
Baise,106.62,23.9,2010,8,2010-08,0.2061
Baise,106.62,23.9,2010,9,2010-09,0.2323
Baise,106.62,23.9,2010,10,2010-10,0.2418
Baise,106.62,23.9,2010,11,2010-11,0.1788
Baise,106.62,23.9,2010,12,2010-12,0.1767
Baise,106.62,23.9,2011,1,2011-01,0.0859
Baise,106.62,23.9,2011,2,2011-02,0.1235
Baise,106.62,23.9,2011,3,2011-03,0.1174
Baise,106.62,23.9,2011,4,2011-04,0.1334
Baise,106.62,23.9,2011,5,2011-05,0.2126
Baise,106.62,23.9,2011,6,2011-06,0.2002
Baise,106.62,23.9,2011,7,2011-07,0.2392
Baise,106.62,23.9,2011,8,2011-08,0.2586
Baise,106.62,23.9,2011,9,2011-09,0.3048
Baise,106.62,23.9,2011,10,2011-10,0.2352
Baise,106.62,23.9,2011,11,2011-11,0.2155
Baise,106.62,23.9,2011,12,2011-12,0.17
Baise,106.62,23.9,2012,1,2012-01,0.0402
Baise,106.62,23.9,2012,2,2012-02,0.125
Baise,106.62,23.9,2012,3,2012-03,0.1495
Baise,106.62,23.9,2012,4,2012-04,0.2025
Baise,106.62,23.9,2012,5,2012-05,0.1828
Baise,106.62,23.9,2012,6,2012-06,0.2762
Baise,106.62,23.9,2012,7,2012-07,0.2562
Baise,106.62,23.9,2012,8,2012-08,0.247
Baise,106.62,23.9,2012,9,2012-09,0.2192
Baise,106.62,23.9,2012,10,2012-10,0.255
Baise,106.62,23.9,2012,11,2012-11,0.1756
Baise,106.62,23.9,2012,12,2012-12,0.1188
Baise,106.62,23.9,2013,1,2013-01,0.0459
Baise,106.62,23.9,2013,2,2013-02,0.1496
Baise,106.62,23.9,2013,3,2013-03,0.1728
Baise,106.62,23.9,2013,4,2013-04,0.2348
Baise,106.62,23.9,2013,5,2013-05,0.2019
Baise,106.62,23.9,2013,6,2013-06,0.2248
Baise,106.62,23.9,2013,7,2013-07,0.2408
Baise,106.62,23.9,2013,8,2013-08,0.2467
Baise,106.62,23.9,2013,9,2013-09,0.248
Baise,106.62,23.9,2013,10,2013-10,0.2387
Baise,106.62,23.9,2013,11,2013-11,0.2054
Baise,106.62,23.9,2013,12,2013-12,0.1722
Baise,106.62,23.9,2014,1,2014-01,0.1495
Baise,106.62,23.9,2014,2,2014-02,0.2036
Baise,106.62,23.9,2014,3,2014-03,0.1698
Baise,106.62,23.9,2014,4,2014-04,0.1703
Baise,106.62,23.9,2014,5,2014-05,0.2197
Baise,106.62,23.9,2014,6,2014-06,0.2408
Baise,106.62,23.9,2014,7,2014-07,0.2548
Baise,106.62,23.9,2014,8,2014-08,0.2712
Baise,106.62,23.9,2014,9,2014-09,0.2865
Baise,106.62,23.9,2014,10,2014-10,0.1984
Baise,106.62,23.9,2014,11,2014-11,0.1445
Baise,106.62,23.9,2014,12,2014-12,0.1896
Baise,106.62,23.9,2015,1,2015-01,0.1531
Baise,106.62,23.9,2015,2,2015-02,0.1478
Baise,106.62,23.9,2015,3,2015-03,0.2262
Baise,106.62,23.9,2015,4,2015-04,0.2322
Baise,106.62,23.9,2015,5,2015-05,0.323
Baise,106.62,23.9,2015,6,2015-06,0.261
Baise,106.62,23.9,2015,7,2015-07,0.2498
Baise,106.62,23.9,2015,8,2015-08,0.3208
Baise,106.62,23.9,2015,9,2015-09,0.2162
Baise,106.62,23.9,2015,10,2015-10,0.2294
Baise,106.62,23.9,2015,11,2015-11,0.2438
Baise,106.62,23.9,2015,12,2015-12,0.1856
Baise,106.62,23.9,2016,1,2016-01,0.0618
Baise,106.62,23.9,2016,2,2016-02,0.213
Baise,106.62,23.9,2016,3,2016-03,0.2028
Baise,106.62,23.9,2016,4,2016-04,0.2387
Baise,106.62,23.9,2016,5,2016-05,0.2336
Baise,106.62,23.9,2016,6,2016-06,0.2246
Baise,106.62,23.9,2016,7,2016-07,0.2336
Baise,106.62,23.9,2016,8,2016-08,0.2448
Baise,106.62,23.9,2016,9,2016-09,0.3403
Baise,106.62,23.9,2016,10,2016-10,0.2258
Baise,106.62,23.9,2016,11,2016-11,0.2395
Baise,106.62,23.9,2016,12,2016-12,0.2191
Baise,106.62,23.9,2017,1,2017-01,0.1553
Baise,106.62,23.9,2017,2,2017-02,0.1648
Baise,106.62,23.9,2017,3,2017-03,0.2109
Baise,106.62,23.9,2017,4,2017-04,0.2491
Baise,106.62,23.9,2017,5,2017-05,0.2607
Baise,106.62,23.9,2017,6,2017-06,0.1574
Baise,106.62,23.9,2017,7,2017-07,0.3056
Baise,106.62,23.9,2017,8,2017-08,0.2752
Baise,106.62,23.9,2017,9,2017-09,0.2546
Baise,106.62,23.9,2017,10,2017-10,0.1996
Baise,106.62,23.9,2017,11,2017-11,0.2598
Baise,106.62,23.9,2017,12,2017-12,0.1949
Baise,106.62,23.9,2018,1,2018-01,0.116
Baise,106.62,23.9,2018,2,2018-02,0.1889
Baise,106.62,23.9,2018,3,2018-03,0.2454
Baise,106.62,23.9,2018,4,2018-04,0.2562
Baise,106.62,23.9,2018,5,2018-05,0.2766
Baise,106.62,23.9,2018,6,2018-06,0.243
Baise,106.62,23.9,2018,7,2018-07,0.257
Baise,106.62,23.9,2018,8,2018-08,0.2956
Baise,106.62,23.9,2018,9,2018-09,0.2779
Baise,106.62,23.9,2018,10,2018-10,0.2726
Baise,106.62,23.9,2018,11,2018-11,0.2563
Baise,106.62,23.9,2018,12,2018-12,0.1608
Baise,106.62,23.9,2019,1,2019-01,0.0684
Baise,106.62,23.9,2019,2,2019-02,0.2162
Baise,106.62,23.9,2019,3,2019-03,0.184
Baise,106.62,23.9,2019,4,2019-04,0.2473
Baise,106.62,23.9,2019,5,2019-05,0.2182
Baise,106.62,23.9,2019,6,2019-06,0.2657
Baise,106.62,23.9,2019,7,2019-07,0.2314
Baise,106.62,23.9,2019,8,2019-08,0.262
Baise,106.62,23.9,2019,9,2019-09,0.2128
Baise,106.62,23.9,2019,10,2019-10,0.3691
Baise,106.62,23.9,2019,11,2019-11,0.2006
Baise,106.62,23.9,2019,12,2019-12,0.1813
Baise,106.62,23.9,2020,1,2020-01,0.1714
Baise,106.62,23.9,2020,2,2020-02,0.2188
Baise,106.62,23.9,2020,3,2020-03,0.1733
Baise,106.62,23.9,2020,4,2020-04,0.2261
Baise,106.62,23.9,2020,5,2020-05,0.2289
Baise,106.62,23.9,2020,6,2020-06,0.2596
Baise,106.62,23.9,2020,7,2020-07,0.2519
Baise,106.62,23.9,2020,8,2020-08,0.295
Baise,106.62,23.9,2020,9,2020-09,0.2254
Baise,106.62,23.9,2020,10,2020-10,0.2645
Baise,106.62,23.9,2020,11,2020-11,0.1841
Baise,106.62,23.9,2020,12,2020-12,0.1803
Baise,106.62,23.9,2021,1,2021-01,0.2248
Baise,106.62,23.9,2021,2,2021-02,0.1608
Baise,106.62,23.9,2021,3,2021-03,0.1781
Baise,106.62,23.9,2021,4,2021-04,0.24
Baise,106.62,23.9,2021,5,2021-05,0.247
Baise,106.62,23.9,2021,6,2021-06,0.1745
Baise,106.62,23.9,2021,7,2021-07,0.3251
Baise,106.62,23.9,2021,8,2021-08,0.2454
Baise,106.62,23.9,2021,9,2021-09,0.2622
Baise,106.62,23.9,2021,10,2021-10,0.2075
Baise,106.62,23.9,2021,11,2021-11,0.1903
Baise,106.62,23.9,2021,12,2021-12,0.1522
Baise,106.62,23.9,2022,1,2022-01,0.165
Baise,106.62,23.9,2022,2,2022-02,0.0876
Baise,106.62,23.9,2022,3,2022-03,0.231
Baise,106.62,23.9,2022,4,2022-04,0.3706
Baise,106.62,23.9,2022,5,2022-05,0.2336
Baise,106.62,23.9,2022,6,2022-06,0.2468
Baise,106.62,23.9,2022,7,2022-07,0.2829
Baise,106.62,23.9,2022,8,2022-08,0.2622
Baise,106.62,23.9,2022,9,2022-09,0.3308
Baise,106.62,23.9,2022,10,2022-10,0.2486
Baise,106.62,23.9,2022,11,2022-11,0.2206
Baise,106.62,23.9,2022,12,2022-12,0.2221
Baise,106.62,23.9,2023,1,2023-01,0.2183
Baise,106.62,23.9,2023,2,2023-02,0.2104
Baise,106.62,23.9,2023,3,2023-03,0.1995
Baise,106.62,23.9,2023,4,2023-04,0.1634
Baise,106.62,23.9,2023,5,2023-05,0.2132
Baise,106.62,23.9,2023,6,2023-06,0.2078
Baise,106.62,23.9,2023,7,2023-07,0.2632
Baise,106.62,23.9,2023,8,2023-08,0.2228
Baise,106.62,23.9,2023,9,2023-09,0.236
Baise,106.62,23.9,2023,10,2023-10,0.2679
Baise,106.62,23.9,2023,11,2023-11,0.2064
Baise,106.62,23.9,2023,12,2023-12,0.1703
Baise,106.62,23.9,2024,1,2024-01,0.1081
Baise,106.62,23.9,2024,2,2024-02,0.1972
Baise,106.62,23.9,2024,3,2024-03,0.1947
Baise,106.62,23.9,2024,4,2024-04,0.167
Baise,106.62,23.9,2024,5,2024-05,0.2282
Baise,106.62,23.9,2024,6,2024-06,0.1861
Baise,106.62,23.9,2024,7,2024-07,0.2514
Baise,106.62,23.9,2024,8,2024-08,0.225
Baise,106.62,23.9,2024,9,2024-09,0.2264
Baise,106.62,23.9,2024,10,2024-10,0.2243
Baise,106.62,23.9,2024,11,2024-11,0.1423
Baise,106.62,23.9,2024,12,2024-12,0.135
Beihai,109.12,21.48,2005,1,2005-01,0.2155
Beihai,109.12,21.48,2005,2,2005-02,0.2862
Beihai,109.12,21.48,2005,3,2005-03,0.229
Beihai,109.12,21.48,2005,4,2005-04,0.3291
Beihai,109.12,21.48,2005,5,2005-05,0.3729
Beihai,109.12,21.48,2005,6,2005-06,0.2066
Beihai,109.12,21.48,2005,7,2005-07,0.4904
Beihai,109.12,21.48,2005,8,2005-08,0.3038
Beihai,109.12,21.48,2005,9,2005-09,0.4486
Beihai,109.12,21.48,2005,10,2005-10,0.3114
Beihai,109.12,21.48,2005,11,2005-11,0.2859
Beihai,109.12,21.48,2005,12,2005-12,0.3744
Beihai,109.12,21.48,2006,1,2006-01,0.1928
Beihai,109.12,21.48,2006,2,2006-02,0.1935
Beihai,109.12,21.48,2006,3,2006-03,0.1385
Beihai,109.12,21.48,2006,4,2006-04,0.3597
Beihai,109.12,21.48,2006,5,2006-05,0.3578
Beihai,109.12,21.48,2006,6,2006-06,0.4302
Beihai,109.12,21.48,2006,7,2006-07,0.236
Beihai,109.12,21.48,2006,8,2006-08,0.2876
Beihai,109.12,21.48,2006,9,2006-09,0.3663
Beihai,109.12,21.48,2006,10,2006-10,0.3482
Beihai,109.12,21.48,2006,11,2006-11,0.3598
Beihai,109.12,21.48,2006,12,2006-12,0.2904
Beihai,109.12,21.48,2007,1,2007-01,0.4356
Beihai,109.12,21.48,2007,2,2007-02,0.1568
Beihai,109.12,21.48,2007,3,2007-03,0.298
Beihai,109.12,21.48,2007,4,2007-04,0.2168
Beihai,109.12,21.48,2007,5,2007-05,0.3485
Beihai,109.12,21.48,2007,6,2007-06,0.1854
Beihai,109.12,21.48,2007,7,2007-07,0.5158
Beihai,109.12,21.48,2007,8,2007-08,0.2126
Beihai,109.12,21.48,2007,9,2007-09,0.5026
Beihai,109.12,21.48,2007,10,2007-10,0.6079
Beihai,109.12,21.48,2007,11,2007-11,0.3569
Beihai,109.12,21.48,2007,12,2007-12,0.2441
Beihai,109.12,21.48,2008,1,2008-01,0.1124
Beihai,109.12,21.48,2008,2,2008-02,0.1723
Beihai,109.12,21.48,2008,3,2008-03,0.2768
Beihai,109.12,21.48,2008,4,2008-04,0.2452
Beihai,109.12,21.48,2008,5,2008-05,0.3698
Beihai,109.12,21.48,2008,6,2008-06,0.4391
Beihai,109.12,21.48,2008,7,2008-07,0.317
Beihai,109.12,21.48,2008,8,2008-08,0.1351
Beihai,109.12,21.48,2008,9,2008-09,0.4634
Beihai,109.12,21.48,2008,10,2008-10,0.478
Beihai,109.12,21.48,2008,11,2008-11,0.3535
Beihai,109.12,21.48,2008,12,2008-12,0.3556
Beihai,109.12,21.48,2009,1,2009-01,0.2796
Beihai,109.12,21.48,2009,2,2009-02,0.2626
Beihai,109.12,21.48,2009,3,2009-03,0.2947
Beihai,109.12,21.48,2009,4,2009-04,0.3548
Beihai,109.12,21.48,2009,5,2009-05,0.372
Beihai,109.12,21.48,2009,6,2009-06,0.3934
Beihai,109.12,21.48,2009,7,2009-07,0.3426
Beihai,109.12,21.48,2009,8,2009-08,0.3555
Beihai,109.12,21.48,2009,9,2009-09,0.45
Beihai,109.12,21.48,2009,10,2009-10,0.4703
Beihai,109.12,21.48,2009,11,2009-11,0.4406
Beihai,109.12,21.48,2009,12,2009-12,0.2035
Beihai,109.12,21.48,2010,1,2010-01,0.199
Beihai,109.12,21.48,2010,2,2010-02,0.3878
Beihai,109.12,21.48,2010,3,2010-03,0.1316
Beihai,109.12,21.48,2010,4,2010-04,0.1756
Beihai,109.12,21.48,2010,5,2010-05,0.2854
Beihai,109.12,21.48,2010,6,2010-06,0.3032
Beihai,109.12,21.48,2010,7,2010-07,0.3174
Beihai,109.12,21.48,2010,8,2010-08,0.2891
Beihai,109.12,21.48,2010,9,2010-09,0.5226
Beihai,109.12,21.48,2010,10,2010-10,0.4228
Beihai,109.12,21.48,2010,11,2010-11,0.451
Beihai,109.12,21.48,2010,12,2010-12,0.3495
Beihai,109.12,21.48,2011,1,2011-01,0.3622
Beihai,109.12,21.48,2011,2,2011-02,0.3459
Beihai,109.12,21.48,2011,3,2011-03,0.0349
Beihai,109.12,21.48,2011,4,2011-04,0.3158
Beihai,109.12,21.48,2011,5,2011-05,0.3555
Beihai,109.12,21.48,2011,6,2011-06,0.329
Beihai,109.12,21.48,2011,7,2011-07,0.3708
Beihai,109.12,21.48,2011,8,2011-08,0.3929
Beihai,109.12,21.48,2011,9,2011-09,0.5345
Beihai,109.12,21.48,2011,10,2011-10,0.3681
Beihai,109.12,21.48,2011,11,2011-11,0.4228
Beihai,109.12,21.48,2011,12,2011-12,0.583
Beihai,109.12,21.48,2012,1,2012-01,0.017
Beihai,109.12,21.48,2012,2,2012-02,0.1479
Beihai,109.12,21.48,2012,3,2012-03,0.1329
Beihai,109.12,21.48,2012,4,2012-04,0.2981
Beihai,109.12,21.48,2012,5,2012-05,0.1925
Beihai,109.12,21.48,2012,6,2012-06,0.3909
Beihai,109.12,21.48,2012,7,2012-07,0.4066
Beihai,109.12,21.48,2012,8,2012-08,0.385
Beihai,109.12,21.48,2012,9,2012-09,0.4908
Beihai,109.12,21.48,2012,10,2012-10,0.431
Beihai,109.12,21.48,2012,11,2012-11,0.4944
Beihai,109.12,21.48,2012,12,2012-12,0.1486
Beihai,109.12,21.48,2013,1,2013-01,0.2713
Beihai,109.12,21.48,2013,2,2013-02,0.1268
Beihai,109.12,21.48,2013,3,2013-03,0.3803
Beihai,109.12,21.48,2013,4,2013-04,0.1376
Beihai,109.12,21.48,2013,5,2013-05,0.3522
Beihai,109.12,21.48,2013,6,2013-06,0.5116
Beihai,109.12,21.48,2013,7,2013-07,0.1843
Beihai,109.12,21.48,2013,8,2013-08,0.3063
Beihai,109.12,21.48,2013,9,2013-09,0.5909
Beihai,109.12,21.48,2013,10,2013-10,0.3469
Beihai,109.12,21.48,2013,11,2013-11,0.5406
Beihai,109.12,21.48,2013,12,2013-12,0.308
Beihai,109.12,21.48,2014,1,2014-01,0.3824
Beihai,109.12,21.48,2014,2,2014-02,0.2225
Beihai,109.12,21.48,2014,3,2014-03,0.1647
Beihai,109.12,21.48,2014,4,2014-04,0.0782
Beihai,109.12,21.48,2014,5,2014-05,0.3404
Beihai,109.12,21.48,2014,6,2014-06,0.429
Beihai,109.12,21.48,2014,7,2014-07,0.3105
Beihai,109.12,21.48,2014,8,2014-08,0.445
Beihai,109.12,21.48,2014,9,2014-09,0.4654
Beihai,109.12,21.48,2014,10,2014-10,0.452
Beihai,109.12,21.48,2014,11,2014-11,0.3647
Beihai,109.12,21.48,2014,12,2014-12,0.4234
Beihai,109.12,21.48,2015,1,2015-01,0.4096
Beihai,109.12,21.48,2015,2,2015-02,0.2216
Beihai,109.12,21.48,2015,3,2015-03,0.4876
Beihai,109.12,21.48,2015,4,2015-04,0.322
Beihai,109.12,21.48,2015,5,2015-05,0.3525
Beihai,109.12,21.48,2015,6,2015-06,0.2739
Beihai,109.12,21.48,2015,7,2015-07,0.4966
Beihai,109.12,21.48,2015,8,2015-08,0.5118
Beihai,109.12,21.48,2015,9,2015-09,0.3105
Beihai,109.12,21.48,2015,10,2015-10,0.6002
Beihai,109.12,21.48,2015,11,2015-11,0.405
Beihai,109.12,21.48,2015,12,2015-12,0.3452
Beihai,109.12,21.48,2016,1,2016-01,0.405
Beihai,109.12,21.48,2016,2,2016-02,0.3567
Beihai,109.12,21.48,2016,3,2016-03,0.1974
Beihai,109.12,21.48,2016,4,2016-04,0.2899
Beihai,109.12,21.48,2016,5,2016-05,0.3786
Beihai,109.12,21.48,2016,6,2016-06,0.2916
Beihai,109.12,21.48,2016,7,2016-07,0.4381
Beihai,109.12,21.48,2016,8,2016-08,0.4346
Beihai,109.12,21.48,2016,9,2016-09,0.591
Beihai,109.12,21.48,2016,10,2016-10,0.4285
Beihai,109.12,21.48,2016,11,2016-11,0.5384
Beihai,109.12,21.48,2016,12,2016-12,0.5726
Beihai,109.12,21.48,2017,1,2017-01,0.5751
Beihai,109.12,21.48,2017,2,2017-02,0.3014
Beihai,109.12,21.48,2017,3,2017-03,0.3486
Beihai,109.12,21.48,2017,4,2017-04,0.3787
Beihai,109.12,21.48,2017,5,2017-05,0.4295
Beihai,109.12,21.48,2017,6,2017-06,0.2012
Beihai,109.12,21.48,2017,7,2017-07,0.5188
Beihai,109.12,21.48,2017,8,2017-08,0.538
Beihai,109.12,21.48,2017,9,2017-09,0.4218
Beihai,109.12,21.48,2017,10,2017-10,0.7564
Beihai,109.12,21.48,2017,11,2017-11,0.5678
Beihai,109.12,21.48,2017,12,2017-12,0.3548
Beihai,109.12,21.48,2018,1,2018-01,0.4954
Beihai,109.12,21.48,2018,2,2018-02,0.2414
Beihai,109.12,21.48,2018,3,2018-03,0.2664
Beihai,109.12,21.48,2018,4,2018-04,0.2551
Beihai,109.12,21.48,2018,5,2018-05,0.2965
Beihai,109.12,21.48,2018,6,2018-06,0.4282
Beihai,109.12,21.48,2018,7,2018-07,0.2987
Beihai,109.12,21.48,2018,8,2018-08,0.2968
Beihai,109.12,21.48,2018,9,2018-09,0.4406
Beihai,109.12,21.48,2018,10,2018-10,0.6207
Beihai,109.12,21.48,2018,11,2018-11,0.4378
Beihai,109.12,21.48,2018,12,2018-12,0.3926
Beihai,109.12,21.48,2019,1,2019-01,0.3109
Beihai,109.12,21.48,2019,2,2019-02,0.2709
Beihai,109.12,21.48,2019,3,2019-03,0.4056
Beihai,109.12,21.48,2019,4,2019-04,0.2509
Beihai,109.12,21.48,2019,5,2019-05,0.4116
Beihai,109.12,21.48,2019,6,2019-06,0.6188
Beihai,109.12,21.48,2019,7,2019-07,0.3712
Beihai,109.12,21.48,2019,8,2019-08,0.4458
Beihai,109.12,21.48,2019,9,2019-09,0.6092
Beihai,109.12,21.48,2019,10,2019-10,0.4987
Beihai,109.12,21.48,2019,11,2019-11,0.537
Beihai,109.12,21.48,2019,12,2019-12,0.3792
Beihai,109.12,21.48,2020,1,2020-01,0.3184
Beihai,109.12,21.48,2020,2,2020-02,0.315
Beihai,109.12,21.48,2020,3,2020-03,0.2709
Beihai,109.12,21.48,2020,4,2020-04,0.3778
Beihai,109.12,21.48,2020,5,2020-05,0.1883
Beihai,109.12,21.48,2020,6,2020-06,0.2482
Beihai,109.12,21.48,2020,7,2020-07,0.3594
Beihai,109.12,21.48,2020,8,2020-08,0.4143
Beihai,109.12,21.48,2020,9,2020-09,0.2726
Beihai,109.12,21.48,2020,10,2020-10,0.5048
Beihai,109.12,21.48,2020,11,2020-11,0.4876
Beihai,109.12,21.48,2020,12,2020-12,0.4288
Beihai,109.12,21.48,2021,1,2021-01,0.5032
Beihai,109.12,21.48,2021,2,2021-02,0.4412
Beihai,109.12,21.48,2021,3,2021-03,0.3544
Beihai,109.12,21.48,2021,4,2021-04,0.3353
Beihai,109.12,21.48,2021,5,2021-05,0.4106
Beihai,109.12,21.48,2021,6,2021-06,0.5036
Beihai,109.12,21.48,2021,7,2021-07,0.2966
Beihai,109.12,21.48,2021,8,2021-08,0.3979
Beihai,109.12,21.48,2021,9,2021-09,0.3178
Beihai,109.12,21.48,2021,10,2021-10,0.5038
Beihai,109.12,21.48,2021,11,2021-11,0.5414
Beihai,109.12,21.48,2021,12,2021-12,0.4376
Beihai,109.12,21.48,2022,1,2022-01,0.3676
Beihai,109.12,21.48,2022,2,2022-02,0.2782
Beihai,109.12,21.48,2022,3,2022-03,0.3734
Beihai,109.12,21.48,2022,4,2022-04,0.4213
Beihai,109.12,21.48,2022,5,2022-05,0.252
Beihai,109.12,21.48,2022,6,2022-06,0.2222
Beihai,109.12,21.48,2022,7,2022-07,0.2881
Beihai,109.12,21.48,2022,8,2022-08,0.5903
Beihai,109.12,21.48,2022,9,2022-09,0.5107
Beihai,109.12,21.48,2022,10,2022-10,0.4416
Beihai,109.12,21.48,2022,11,2022-11,0.465
Beihai,109.12,21.48,2022,12,2022-12,0.4832
Beihai,109.12,21.48,2023,1,2023-01,0.2984
Beihai,109.12,21.48,2023,2,2023-02,0.3508
Beihai,109.12,21.48,2023,3,2023-03,0.4354
Beihai,109.12,21.48,2023,4,2023-04,0.5334
Beihai,109.12,21.48,2023,5,2023-05,0.4949
Beihai,109.12,21.48,2023,6,2023-06,0.5147
Beihai,109.12,21.48,2023,7,2023-07,0.3582
Beihai,109.12,21.48,2023,8,2023-08,0.5397
Beihai,109.12,21.48,2023,9,2023-09,0.5971
Beihai,109.12,21.48,2023,10,2023-10,0.7709
Beihai,109.12,21.48,2023,11,2023-11,0.2619
Beihai,109.12,21.48,2023,12,2023-12,0.612
Beihai,109.12,21.48,2024,1,2024-01,0.4889
Beihai,109.12,21.48,2024,2,2024-02,0.224
Beihai,109.12,21.48,2024,3,2024-03,0.4042
Beihai,109.12,21.48,2024,4,2024-04,0.2642
Beihai,109.12,21.48,2024,5,2024-05,0.1104
Beihai,109.12,21.48,2024,6,2024-06,0.1872
Beihai,109.12,21.48,2024,7,2024-07,0.3344
Beihai,109.12,21.48,2024,8,2024-08,0.4042
Beihai,109.12,21.48,2024,9,2024-09,0.5097
Beihai,109.12,21.48,2024,10,2024-10,0.5689
Beihai,109.12,21.48,2024,11,2024-11,0.5204
Beihai,109.12,21.48,2024,12,2024-12,0.3155
Fangchenggang,108.35,21.69,2005,1,2005-01,0.0804
Fangchenggang,108.35,21.69,2005,2,2005-02,0.2214
Fangchenggang,108.35,21.69,2005,3,2005-03,0.3954
Fangchenggang,108.35,21.69,2005,4,2005-04,0.2102
Fangchenggang,108.35,21.69,2005,5,2005-05,0.1348
Fangchenggang,108.35,21.69,2005,6,2005-06,0.1422
Fangchenggang,108.35,21.69,2005,7,2005-07,0.3486
Fangchenggang,108.35,21.69,2005,8,2005-08,0.3114
Fangchenggang,108.35,21.69,2005,9,2005-09,0.4288
Fangchenggang,108.35,21.69,2005,10,2005-10,0.3924
Fangchenggang,108.35,21.69,2005,11,2005-11,0.336
Fangchenggang,108.35,21.69,2005,12,2005-12,0.0238
Fangchenggang,108.35,21.69,2006,1,2006-01,0.1618
Fangchenggang,108.35,21.69,2006,2,2006-02,-0.0004
Fangchenggang,108.35,21.69,2006,3,2006-03,0.0352
Fangchenggang,108.35,21.69,2006,4,2006-04,0.2516
Fangchenggang,108.35,21.69,2006,5,2006-05,
Fangchenggang,108.35,21.69,2006,6,2006-06,0.4482
Fangchenggang,108.35,21.69,2006,7,2006-07,0.3231
Fangchenggang,108.35,21.69,2006,8,2006-08,0.3697
Fangchenggang,108.35,21.69,2006,9,2006-09,0.3894
Fangchenggang,108.35,21.69,2006,10,2006-10,0.2274
Fangchenggang,108.35,21.69,2006,11,2006-11,0.3354
Fangchenggang,108.35,21.69,2006,12,2006-12,0.4749
Fangchenggang,108.35,21.69,2007,1,2007-01,0.3627
Fangchenggang,108.35,21.69,2007,2,2007-02,0.3573
