station,longitude,latitude,year,month,date,比湿_gkg_500hPa,比湿_gkg_700hPa,比湿_gkg_850hPa,比湿_gkg_925hPa,比湿_gkg_1000hPa,水汽通量_kg_ms_500hPa,水汽通量_kg_ms_700hPa,水汽通量_kg_ms_850hPa,水汽通量_kg_ms_925hPa,水汽通量_kg_ms_1000hPa,温度_℃_200hPa,温度_℃_500hPa,温度_℃_700hPa,温度_℃_850hPa,温度_℃_925hPa,温度_℃_1000hPa,露点温度_℃_500hPa,露点温度_℃_700hPa,露点温度_℃_850hPa,露点温度_℃_925hPa,露点温度_℃_1000hPa,风向_度_200hPa,风向_度_500hPa,风向_度_700hPa,风向_度_850hPa,风向_度_925hPa,风向_度_1000hPa,风速_ms_200hPa,风速_ms_500hPa,风速_ms_700hPa,风速_ms_850hPa,风速_ms_925hPa,风速_ms_1000hPa,K指数_℃,Showalter指数_℃,LCL高度_m_850hPa,整层水汽通量_kg_ms
Baise,107.5,25.0,2005,11,2005-11,1.457,5.382,9.024,10.984,12.992,0.003019,0.00573,0.00245,0.002138,0.001622,-52.38,-6.62,5.76,11.31,15.01,18.78,-20.85,-0.25,9.86,14.07,17.87,263.29,263.98,256.94,182.58,120.19,110.06,34.69,20.32,10.44,2.66,1.91,1.22,21.78,-0.12,181.65,0.014959
Baise,107.5,25.0,2005,12,2005-12,1.445,4.138,4.964,5.692,6.611,0.003814,0.005029,0.001213,0.0019,0.001407,-52.95,-7.52,3.52,5.31,7.93,11.22,-20.95,-3.78,1.33,4.44,7.71,256.68,270.75,264.32,129.07,84.74,71.56,39.53,25.88,11.92,2.4,3.27,2.09,6.86,14.19,497.3,0.013363
Baise,107.5,25.0,2006,1,2006-01,0.328,2.938,6.139,6.731,8.021,0.000802,0.004064,0.002393,0.002136,0.001956,-51.06,-7.1,5.73,7.17,9.49,13.25,-36.79,-8.25,4.3,6.83,10.55,256.29,272.87,267.17,184.8,119.45,107.53,44.53,23.97,13.57,3.82,3.11,2.39,4.59,10.14,358.55,0.011351
Baise,107.5,25.0,2006,2,2006-02,0.757,5.106,7.718,8.302,9.969,0.001471,0.006669,0.004173,0.002262,0.001966,-51.29,-10.36,3.32,8.44,10.91,14.8,-28.14,-0.96,7.58,9.89,13.81,264.1,267.08,254.79,185.3,121.85,102.24,47.55,19.05,12.81,5.3,2.67,1.93,22.09,1.98,107.92,0.016541
Baise,107.5,25.0,2006,3,2006-03,0.85,5.31,9.082,10.294,12.582,0.00209,0.007356,0.004072,0.002958,0.002666,-51.37,-9.46,6.05,11.78,14.85,19.11,-26.88,-0.43,9.95,13.09,17.37,261.28,270.78,262.56,186.4,126.34,111.75,48.52,24.11,13.58,4.4,2.82,2.08,24.71,-3.55,228.66,0.019142
Baise,107.5,25.0,2006,4,2006-04,1.408,6.474,10.99,13.448,16.163,0.002713,0.007846,0.005862,0.00353,0.002742,-51.84,-6.91,8.94,16.89,20.46,24.7,-21.25,2.29,12.78,17.17,21.3,257.45,260.71,256.17,211.08,176.66,157.75,40.3,18.9,11.88,5.23,2.57,1.66,29.94,-10.6,513.51,0.022693
Baise,107.5,25.0,2006,5,2006-05,2.825,6.921,12.277,15.628,18.483,0.00264,0.003626,0.003459,0.003063,0.002812,-50.58,-5.23,9.32,17.52,21.36,25.37,-12.98,3.23,14.45,19.51,23.45,271.49,266.93,254.07,177.51,130.57,105.15,18.91,9.16,5.14,2.76,1.92,1.49,31.11,-12.73,383.36,0.015598
Baise,107.5,25.0,2006,6,2006-06,4.17,9.695,15.114,19.261,22.701,0.002312,0.006048,0.007345,0.005563,0.00482,-49.01,-2.8,11.28,19.77,23.69,27.7,-8.09,8.03,17.64,22.82,26.78,358.45,266.94,245.57,198.47,159.33,127.59,5.93,5.44,6.12,4.77,2.83,2.08,36.96,-19.69,266.4,0.026088
Baise,107.5,25.0,2006,7,2006-07,3.949,9.222,15.335,20.333,23.67,0.000866,0.001304,0.005166,0.004535,0.003879,-47.45,-2.12,12.3,21.01,25.09,28.92,-8.79,7.3,17.86,23.69,27.47,72.84,110.12,174.21,171.82,154.26,132.23,10.64,2.15,1.39,3.3,2.19,1.61,36.0,-20.0,393.42,0.01575
Baise,107.5,25.0,2006,8,2006-08,3.665,8.436,13.336,19.113,22.163,0.001442,0.003102,0.003923,0.002875,0.002094,-49.31,-3.32,11.48,20.38,24.23,27.97,-9.74,6.02,15.71,22.7,26.39,74.82,96.85,105.77,122.97,100.55,83.18,8.36,3.86,3.61,2.88,1.47,0.93,33.96,-16.34,583.56,0.013435
Baise,107.5,25.0,2006,9,2006-09,2.951,6.509,11.139,15.559,18.154,0.000441,0.000424,0.003414,0.003227,0.001959,-50.5,-3.79,9.96,17.46,21.44,25.24,-12.44,2.37,12.98,19.44,23.16,349.27,316.94,63.03,93.62,66.84,53.46,4.24,1.46,0.64,3.01,2.03,1.06,26.64,-8.41,559.54,0.009465
Baise,107.5,25.0,2006,10,2006-10,2.667,7.7,11.778,15.024,17.528,0.00266,0.003411,0.002527,0.002351,0.001916,-52.43,-5.59,7.91,15.96,19.96,23.66,-13.69,4.73,13.83,18.89,22.6,271.06,259.28,255.2,159.41,97.87,81.42,18.33,9.78,4.34,2.1,1.53,1.07,32.2,-10.3,266.76,0.012865
Baise,107.5,25.0,2006,11,2006-11,1.2,4.269,8.517,10.423,12.14,0.002515,0.00401,0.002835,0.002258,0.001406,-53.17,-8.5,4.98,12.37,15.55,19.06,-23.06,-3.37,9.01,13.28,16.82,269.27,267.96,257.14,182.81,120.55,102.2,39.01,20.55,9.21,3.26,2.12,1.14,21.53,-1.8,420.32,0.013024
Baise,107.5,25.0,2006,12,2006-12,0.384,3.514,5.508,6.359,7.218,0.00088,0.003259,0.001477,0.00176,0.001174,-51.31,-9.52,1.8,7.39,10.15,13.1,-35.21,-5.93,2.78,6.02,8.99,267.74,271.94,258.78,159.98,92.96,73.61,48.51,22.48,9.09,2.63,2.71,1.59,11.95,9.0,576.72,0.008549
Baise,107.5,25.0,2007,1,2007-01,0.41,3.596,5.086,5.565,6.465,0.001092,0.004313,0.001085,0.001739,0.001478,-52.43,-9.7,0.98,5.22,7.77,11.04,-34.55,-5.63,1.67,4.12,7.39,263.54,268.44,259.91,150.49,77.37,65.49,52.53,26.13,11.76,2.09,3.06,2.24,9.98,11.81,444.01,0.009707
Baise,107.5,25.0,2007,2,2007-02,0.718,4.125,7.87,9.258,11.059,0.001819,0.005599,0.004842,0.00337,0.002605,-51.34,-12.49,2.78,11.49,15.18,19.1,-28.71,-3.82,7.86,11.5,15.38,259.01,263.06,255.38,202.61,163.9,155.99,53.97,24.84,13.31,6.03,3.57,2.31,25.23,-3.4,454.13,0.018235
Baise,107.5,25.0,2007,3,2007-03,0.447,4.529,9.077,10.475,12.751,0.001067,0.007012,0.005912,0.003483,0.002877,-51.93,-7.72,6.6,13.25,16.56,20.89,-33.67,-2.58,9.94,13.35,17.58,255.18,267.26,256.94,200.05,154.77,139.4,42.43,23.41,15.18,6.39,3.26,2.21,21.73,-3.21,413.58,0.020351
Baise,107.5,25.0,2007,4,2007-04,1.395,5.184,8.885,10.725,13.004,0.002153,0.005104,0.002328,0.001564,0.001355,-52.14,-9.05,6.99,13.23,16.84,21.14,-21.35,-0.76,9.63,13.71,17.88,265.07,266.74,265.13,196.04,132.17,113.05,39.53,15.13,9.65,2.57,1.43,1.02,24.16,-4.06,450.38,0.012504
Baise,107.5,25.0,2007,5,2007-05,2.683,6.568,11.801,15.265,18.129,0.002105,0.003332,0.00472,0.003632,0.002563,-50.53,-4.65,10.19,18.1,22.03,26.1,-13.61,2.49,13.85,19.14,23.14,278.98,260.95,245.03,206.17,186.15,168.77,15.95,7.7,4.97,3.92,2.33,1.39,28.91,-11.54,530.81,0.016353
Baise,107.5,25.0,2007,6,2007-06,3.209,8.735,15.153,19.243,22.697,0.002185,0.005883,0.007862,0.005852,0.005335,-49.27,-2.86,11.65,19.74,23.73,27.75,-11.4,6.52,17.68,22.81,26.78,269.63,257.55,248.13,199.04,161.02,128.66,6.15,6.68,6.61,5.09,2.98,2.31,35.15,-19.82,257.66,0.027118
Baise,107.5,25.0,2007,7,2007-07,3.095,8.876,15.884,19.927,23.351,0.001777,0.007464,0.013754,0.010429,0.00851,-48.46,-2.15,12.02,20.52,24.68,28.61,-11.85,6.75,18.41,23.36,27.25,63.68,210.3,221.46,197.47,174.63,160.55,8.39,5.63,8.25,8.49,5.13,3.57,35.81,-20.0,263.82,0.041934
Baise,107.5,25.0,2007,8,2007-08,2.974,7.759,13.818,19.298,22.324,0.000765,0.000911,0.001754,0.001303,0.001235,-48.95,-2.88,11.39,20.75,24.61,28.33,-12.35,4.83,16.26,22.85,26.51,54.25,53.22,67.0,135.0,128.25,112.78,7.57,2.52,1.15,1.24,0.66,0.54,33.33,-17.49,561.83,0.005967
Baise,107.5,25.0,2007,9,2007-09,3.124,6.733,11.759,15.361,17.885,0.000798,0.000636,0.004348,0.005029,0.004004,-50.03,-3.39,9.99,17.04,20.96,24.65,-11.74,2.84,13.8,19.24,22.92,310.83,283.15,47.19,73.66,45.5,30.07,3.5,2.51,0.93,3.63,3.21,2.2,27.08,-9.13,404.93,0.014816
Baise,107.5,25.0,2007,10,2007-10,1.776,5.867,9.698,12.415,14.381,0.001347,0.001834,0.00361,0.003948,0.002485,-51.52,-4.88,7.73,14.26,18.31,21.88,-18.56,0.93,10.92,15.94,19.46,272.75,265.91,235.64,111.36,72.26,56.31,10.61,7.44,3.06,3.65,3.12,1.69,23.26,-2.84,417.71,0.013224
Baise,107.5,25.0,2007,11,2007-11,1.128,3.536,4.961,6.833,7.717,0.001699,0.0015,0.001501,0.002022,0.001202,-51.51,-8.62,4.42,10.39,13.54,16.58,-23.76,-5.85,1.32,7.05,9.97,254.26,264.87,271.38,74.56,60.7,39.42,32.14,14.77,4.16,2.97,2.9,1.53,10.06,8.45,1133.81,0.007924
Baise,107.5,25.0,2007,12,2007-12,0.59,3.588,6.866,7.641,9.013,0.001478,0.004632,0.002569,0.0021,0.00177,-52.51,-7.13,3.4,8.27,11.14,14.76,-30.79,-5.66,5.89,8.67,12.29,270.07,269.14,262.47,191.95,125.64,113.24,42.07,24.56,12.66,3.67,2.69,1.93,12.23,7.38,297.14,0.012549
Baise,107.5,25.0,2008,1,2008-01,0.629,3.21,5.207,5.25,6.113,0.001758,0.005523,0.002397,0.001657,0.00137,-52.39,-8.75,5.67,5.56,7.07,10.32,-30.12,-7.11,1.99,3.3,6.58,249.5,256.48,254.64,185.98,111.01,97.32,48.29,27.41,16.87,4.51,3.1,2.2,3.52,12.16,445.74,0.012706
Baise,107.5,25.0,2008,2,2008-02,0.555,3.833,4.015,4.305,5.155,0.0017,0.005207,0.000978,0.001491,0.001264,-50.61,-8.45,-0.22,2.01,4.8,8.57,-31.43,-4.79,-1.57,0.54,4.15,254.19,267.81,261.32,117.42,72.53,66.21,42.65,30.04,13.32,2.39,3.4,2.4,4.32,18.47,447.26,0.01064
Baise,107.5,25.0,2008,3,2008-03,1.162,4.737,7.878,9.248,11.26,0.002357,0.004855,0.003522,0.002375,0.002038,-52.11,-10.97,4.34,11.72,15.71,19.85,-23.42,-1.98,7.87,11.49,15.66,269.42,270.69,260.38,189.05,152.32,140.03,46.75,19.89,10.05,4.38,2.52,1.77,24.24,-2.12,481.06,0.015147
Baise,107.5,25.0,2008,4,2008-04,1.269,6.055,10.941,12.934,15.773,0.002136,0.006246,0.005423,0.003511,0.002963,-52.23,-6.63,8.68,15.75,19.61,24.04,-22.43,1.37,12.72,16.57,20.91,265.93,264.37,251.98,187.45,151.99,138.52,32.84,16.51,10.12,4.86,2.66,1.84,27.78,-9.08,379.27,0.020279
Baise,107.5,25.0,2008,5,2008-05,3.335,7.435,12.515,15.76,18.877,0.00295,0.003215,0.00369,0.002815,0.002764,-50.55,-4.7,9.28,17.12,21.38,25.59,-10.92,4.23,14.75,19.64,23.79,285.95,264.24,249.43,174.84,139.4,115.14,16.92,8.67,4.24,2.89,1.75,1.44,31.52,-12.39,296.85,0.015434
Baise,107.5,25.0,2008,6,2008-06,3.161,8.121,14.214,18.338,21.729,0.001397,0.002489,0.003829,0.003493,0.00389,-49.72,-3.42,10.6,19.04,23.16,27.24,-11.59,5.48,16.69,22.04,26.07,297.14,272.38,242.67,178.05,143.93,106.89,7.61,4.33,3.01,2.64,1.87,1.76,34.03,-17.29,293.57,0.015098
Baise,107.5,25.0,2008,7,2008-07,3.038,8.186,14.691,19.276,22.6,0.000876,0.003508,0.007826,0.006768,0.005352,-48.51,-3.19,11.19,20.3,24.23,28.16,-12.08,5.6,17.2,22.83,26.71,54.71,216.22,214.33,196.46,177.5,155.31,5.37,2.83,4.2,5.22,3.44,2.32,35.09,-19.56,387.59,0.024329
Baise,107.5,25.0,2008,8,2008-08,3.12,8.087,14.285,19.064,22.245,0.000629,0.002079,0.004305,0.003472,0.003066,-49.38,-3.06,11.42,19.93,23.91,27.75,-11.75,5.42,16.77,22.66,26.45,39.79,159.27,190.28,168.88,145.95,114.48,9.73,1.98,2.52,2.96,1.79,1.35,33.76,-18.02,395.34,0.013551
Baise,107.5,25.0,2008,9,2008-09,2.192,6.94,12.583,17.269,20.155,0.000462,0.00151,0.003912,0.003434,0.002451,-50.09,-3.38,10.33,18.8,22.69,26.51,-16.06,3.26,14.83,21.08,24.85,37.61,131.47,157.4,122.54,89.12,78.88,1.54,2.07,2.13,3.05,1.95,1.19,29.94,-12.92,496.74,0.011769
Baise,107.5,25.0,2008,10,2008-10,2.494,6.319,10.987,13.733,16.097,0.002143,0.002504,0.003599,0.003548,0.00219,-51.56,-5.29,8.88,15.5,19.49,23.28,-14.5,1.96,12.78,17.49,21.24,263.15,245.23,231.48,137.02,93.17,75.23,16.26,8.43,3.89,3.21,2.53,1.33,26.65,-7.61,340.12,0.013983
Baise,107.5,25.0,2008,11,2008-11,1.033,3.938,6.606,8.148,9.486,0.00174,0.002902,0.001509,0.002261,0.001481,-51.65,-7.99,4.49,9.66,12.79,16.18,-24.74,-4.44,5.34,9.61,13.05,265.6,269.76,259.72,120.0,76.83,61.09,36.11,16.52,7.23,2.24,2.72,1.53,14.06,5.83,539.93,0.009893
Baise,107.5,25.0,2008,12,2008-12,0.508,2.91,4.939,5.514,6.36,0.001079,0.002448,0.001346,0.001179,0.000805,-52.0,-9.28,2.86,6.82,9.87,13.08,-32.35,-8.37,1.26,3.99,7.15,267.54,272.23,253.01,162.58,106.62,92.77,43.18,20.84,8.25,2.67,2.1,1.24,6.13,11.11,694.91,0.006858
Baise,107.5,25.0,2009,1,2009-01,0.256,3.299,4.298,4.609,5.429,0.000609,0.003197,0.001166,0.001415,0.001229,-52.27,-10.08,1.16,4.69,7.25,10.65,-39.22,-6.75,-0.65,1.48,4.88,264.14,275.93,262.93,149.0,91.14,77.78,49.95,23.34,9.5,2.66,3.01,2.22,6.21,13.75,666.92,0.007616
Baise,107.5,25.0,2009,2,2009-02,0.36,3.947,8.533,9.541,11.564,0.000874,0.005684,0.007553,0.004918,0.004312,-52.15,-6.55,6.45,13.78,17.34,21.61,-35.86,-4.41,9.03,11.95,16.07,248.63,259.75,248.96,196.81,169.51,158.84,38.3,23.82,14.12,8.68,5.05,3.66,18.5,-1.23,593.29,0.023341
Baise,107.5,25.0,2009,3,2009-03,0.953,4.329,7.991,9.007,10.885,0.002103,0.006274,0.004049,0.002721,0.002296,-52.93,-8.81,7.26,12.55,15.2,19.36,-25.63,-3.19,8.08,11.09,15.14,253.06,259.94,256.33,194.09,135.68,121.15,43.0,21.64,14.21,4.97,2.96,2.07,18.99,-1.01,559.04,0.017444
Baise,107.5,25.0,2009,4,2009-04,1.383,6.486,10.234,12.597,15.288,0.001937,0.005622,0.005197,0.004193,0.003548,-50.71,-7.24,7.39,14.23,18.02,22.33,-21.45,2.32,11.72,16.16,20.42,275.74,271.08,253.74,167.95,131.9,121.53,34.2,13.73,8.5,4.98,3.26,2.28,28.12,-6.48,313.99,0.020497
Baise,107.5,25.0,2009,5,2009-05,2.757,7.932,12.818,15.906,19.177,0.001929,0.004617,0.00688,0.005392,0.004779,-50.52,-4.41,9.41,16.42,20.84,25.12,-13.28,5.15,15.11,19.79,24.04,283.91,265.49,235.78,169.16,142.58,131.52,12.27,6.86,5.71,5.26,3.32,2.44,31.68,-12.14,163.75,0.023597
Baise,107.5,25.0,2009,6,2009-06,3.762,8.797,15.022,19.395,22.831,0.001807,0.003822,0.006347,0.005592,0.004973,-48.88,-2.83,11.6,20.08,24.1,28.1,-9.41,6.62,17.54,22.93,26.88,355.82,258.12,229.09,186.1,162.72,133.86,5.9,4.71,4.26,4.14,2.83,2.14,35.48,-19.81,317.0,0.022541
Baise,107.5,25.0,2009,7,2009-07,3.169,9.254,15.675,20.03,23.467,0.000769,0.004011,0.008794,0.007097,0.005958,-47.51,-1.43,12.02,20.39,24.66,28.59,-11.56,7.35,18.2,23.45,27.33,67.78,153.54,199.37,178.65,157.49,136.3,15.6,2.38,4.25,5.5,3.47,2.49,35.36,-20.0,273.3,0.026628
Baise,107.5,25.0,2009,8,2009-08,2.701,7.644,13.971,19.295,22.292,0.000483,0.001221,0.003678,0.003098,0.002746,-48.54,-2.83,11.66,20.63,24.62,28.31,-13.53,4.62,16.42,22.85,26.49,63.87,106.57,155.07,139.4,115.59,109.33,10.67,1.75,1.57,2.58,1.57,1.21,32.85,-17.71,525.67,0.011225
Baise,107.5,25.0,2009,9,2009-09,2.221,7.601,12.915,17.638,20.483,0.000704,0.001581,0.003905,0.003248,0.002153,-49.29,-3.12,10.71,19.14,23.07,26.81,-15.9,4.54,15.22,21.42,25.11,120.58,142.58,143.97,115.79,82.36,71.92,1.79,3.11,2.04,2.97,1.81,1.03,31.32,-13.83,489.68,0.011592
Baise,107.5,25.0,2009,10,2009-10,1.935,7.223,10.624,13.643,15.679,0.002021,0.003086,0.004118,0.00447,0.003203,-51.04,-4.15,8.37,15.41,19.43,22.88,-17.55,3.83,12.28,17.39,20.82,275.49,276.33,251.78,117.24,74.1,59.72,14.95,10.24,4.19,3.8,3.21,2.0,27.29,-5.49,391.8,0.016898
Baise,107.5,25.0,2009,11,2009-11,1.027,4.33,6.475,7.93,9.292,0.0019,0.003354,0.001271,0.001932,0.001562,-52.71,-5.9,5.51,9.22,11.46,14.99,-24.81,-3.18,5.06,9.22,12.74,269.72,268.89,256.91,132.89,81.09,70.14,33.26,18.14,7.6,1.92,2.39,1.65,11.48,8.64,520.53,0.010019
Baise,107.5,25.0,2009,12,2009-12,0.365,3.839,6.498,7.312,8.727,0.000966,0.004664,0.002774,0.002273,0.001996,-53.13,-9.99,2.9,7.14,9.69,13.41,-35.72,-4.77,5.11,8.03,11.8,268.76,271.81,261.07,183.01,126.19,107.38,56.57,25.94,11.91,4.19,3.05,2.24,14.56,6.44,254.03,0.012672
Baise,107.5,25.0,2010,1,2010-01,0.628,3.077,6.837,7.291,8.55,0.001577,0.003825,0.003609,0.002187,0.001746,-52.79,-8.35,4.77,8.51,10.48,14.0,-30.13,-7.66,5.83,7.99,11.5,258.23,267.74,254.93,199.17,144.69,126.47,47.0,24.63,12.19,5.18,2.94,2.0,10.27,6.0,334.73,0.012943
Baise,107.5,25.0,2010,2,2010-02,0.266,3.137,6.648,7.375,8.645,0.000742,0.005408,0.004633,0.002669,0.002105,-53.06,-10.06,5.7,11.41,13.96,17.64,-38.84,-7.41,5.43,8.15,11.66,262.87,265.13,255.54,204.46,160.75,146.44,60.19,27.34,16.91,6.83,3.55,2.39,13.79,2.03,747.56,0.015555
Baise,107.5,25.0,2010,3,2010-03,0.764,4.49,7.718,8.42,10.157,0.00167,0.006082,0.004352,0.003002,0.002623,-52.17,-8.94,6.97,12.97,16.36,20.54,-28.04,-2.7,7.57,10.1,14.08,261.87,265.37,254.32,194.66,158.35,146.44,50.55,21.44,13.28,5.53,3.5,2.53,19.82,-0.88,674.62,0.01773
Baise,107.5,25.0,2010,4,2010-04,1.391,6.484,10.483,12.227,14.8,0.002434,0.00787,0.005466,0.003786,0.003155,-51.8,-7.33,8.44,14.36,17.44,21.71,-21.39,2.32,12.08,15.71,19.91,268.08,266.49,254.85,186.51,137.54,118.89,40.97,17.16,11.9,5.11,3.04,2.09,27.64,-7.3,285.41,0.022711
Baise,107.5,25.0,2010,5,2010-05,2.671,8.27,14.566,17.735,21.195,0.003407,0.007722,0.009241,0.006486,0.005781,-49.53,-3.66,11.42,18.65,22.33,26.52,-13.67,5.74,17.07,21.51,25.66,282.51,263.99,248.34,186.65,147.06,125.41,23.63,12.51,9.16,6.22,3.59,2.67,33.7,-18.02,197.64,0.032637
Baise,107.5,25.0,2010,6,2010-06,4.535,9.972,15.102,18.717,21.981,0.004319,0.007688,0.006693,0.005124,0.005047,-48.71,-2.72,11.14,18.83,23.0,26.95,-7.02,8.44,17.63,22.36,26.26,305.35,265.52,249.24,188.34,141.81,108.92,11.65,9.34,7.56,4.35,2.68,2.25,36.47,-18.61,150.33,0.02887
Baise,107.5,25.0,2010,7,2010-07,3.261,9.18,15.865,20.291,23.595,0.001282,0.006376,0.01324,0.010222,0.008135,-48.08,-2.19,12.28,20.97,24.99,28.81,-11.2,7.24,18.39,23.66,27.42,62.99,195.8,210.14,190.77,165.82,153.66,10.39,3.86,6.81,8.18,4.94,3.38,36.51,-20.0,322.45,0.039255
Baise,107.5,25.0,2010,8,2010-08,2.901,8.289,13.947,18.999,22.108,0.000813,0.002391,0.005495,0.004612,0.003487,-48.91,-2.59,11.48,20.15,24.08,27.88,-12.65,5.77,16.4,22.6,26.35,60.26,119.64,164.83,163.77,142.17,130.28,9.76,2.75,2.83,3.86,2.38,1.55,33.43,-16.92,468.91,0.016798
Baise,107.5,25.0,2010,9,2010-09,2.954,8.645,13.677,17.947,20.886,8.7e-05,0.001582,0.003383,0.002897,0.002814,-50.31,-3.12,10.77,18.98,22.92,26.69,-12.43,6.38,16.1,21.69,25.42,46.16,255.97,236.13,160.74,117.05,92.6,3.84,0.29,1.79,2.43,1.58,1.32,33.8,-15.58,360.05,0.010764
Baise,107.5,25.0,2010,10,2010-10,2.656,6.625,8.95,11.821,13.859,0.002248,0.00101,0.003945,0.004918,0.003551,-51.16,-5.27,8.24,13.42,16.74,20.47,-13.74,2.62,9.73,15.19,18.88,279.52,272.83,274.6,78.12,56.19,38.37,15.66,8.3,1.49,4.32,4.08,2.51,22.8,-0.61,460.76,0.015672
Baise,107.5,25.0,2010,11,2010-11,0.813,4.352,6.531,8.293,9.529,0.001495,0.003033,0.000996,0.001899,0.001434,-52.11,-8.16,4.35,10.06,13.43,16.73,-27.37,-3.11,5.18,9.87,13.12,272.16,272.0,261.59,118.79,73.18,49.95,37.64,18.03,6.83,1.49,2.25,1.48,15.93,5.47,610.3,0.008857
Baise,107.5,25.0,2010,12,2010-12,1.064,4.228,6.042,7.057,8.242,0.002969,0.005062,0.001413,0.001368,0.001168,-52.67,-7.86,3.67,8.09,10.59,14.01,-24.41,-3.5,4.08,7.52,10.95,262.99,271.28,263.64,183.0,108.72,91.24,44.58,27.37,11.74,2.29,1.9,1.39,12.86,8.76,501.77,0.011981
